,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
14299,09-08-2019,KHAJURAHO//WAX/NATURALCLIVE028,200 G,3 CLIVE ROAD,NATURAL,SCENTED,KHAJURAHO,1,WELLNESS,ACCESSORIES,CANDLES,200
14300,09-08-2019,GC/971/BIG//STERLING/SILVER/MTW080,FS,MODERN TWIST,SILVER,GC 971 BIG,GC/971/BIG,1,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
14301,09-08-2019,PAHADI/APRICOT/CARE//COSMETICS/NATURALPL016,FS,PAHADI LOCAL,NATURAL,APRICOT CARE,PAHADI/APRICOT/CARE,1,WELLNESS,ACCESSORIES,GIFT BOX,FREE SIZE
14302,09-08-2019,ROSE/ATTAR/NATURAL/JF009,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ROSE,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14303,09-08-2019,ZEPHYR/ATTAR/NATURAL/JF012,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ZEPHYR,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14304,09-08-2019,ADONIS/ATTAR/NATURAL/JF014,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ADONIS,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14305,09-08-2019,ZEPHYR/ATTAR/NATURAL/JF012,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ZEPHYR,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14306,09-08-2019,WINSOME/ATTAR/NATURAL/JF013,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,WINSOME,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14307,09-08-2019,Muslin-18/Black//50%/Silk/&/50%/Cotton/Black/26049744,M,INJIRI,BLACK,50% Silk & 50% Cotton,Muslin-18/Black,1,FASHION,CLOTHS,DRESS,MEDIUM
14308,09-08-2019,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14309,09-08-2019,ZEPHYR/ATTAR/NATURAL/JF012,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ZEPHYR,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14310,09-08-2019,UJI100//NA/MULTI/SIL006,FS,SILAIWALI,MULTI,HANDSTITCH TOYS,UJI100,1,ACCESSORIES,ACCESSORIES,DOLLS,FREE SIZE
14311,09-08-2019,HANDMADE//100%/COTTON/MULTI/SIL007,FS,SILAIWALI,MULTI,HANDSTITCH TOYS,HANDMADE,1,ACCESSORIES,ACCESSORIES,DOLLS,FREE SIZE
14312,09-08-2019,LOGST/D02//100%/COTTON/NATURAL/WT005,FS,WOVEN THREAD,NATURAL,HAND WEAVE,LOGST/D02,1,HOME,BEDROOM,CUSHION,FREE SIZE
14313,09-08-2019,LOGST/D02//100%/COTTON/NATURAL/WT028,FS,WOVEN THREAD,NATURAL,HAND WEAVE,LOGST/D02,1,HOME,BEDROOM,CUSHION,FREE SIZE
14314,09-08-2019,Char-Bagh-10//50%/Handloom/Cotton/50%/Silk/White26048336,S,INJIRI,WHITE,50% Handloom Cotton 50% Silk,Char-Bagh-10,1,FASHION,CLOTHS,DRESS,SMALL
14315,09-08-2019,M1808//100%/COTTON/PAUL_142MK137,L,MAKU,NATURAL,PAUL_142,M1808,1,FASHION,CLOTHS,SHIRT,LARGE
14316,09-08-2019,LIPSTICK/014//COSMETIC/BRICK/RUB05,FS,RUBY'S ORGANIC,BRICK,NYRBYORG00014,LIPSTICK/014,1,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
14317,09-08-2019,LIPSTICK/013//COSMETIC/ROSEATE/RUB07,FS,RUBY'S ORGANIC,ROSEATE,NYRBYORG00013,LIPSTICK/013,1,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
14318,09-08-2019,DIVIDED/SIGNET//BRASS/GOLDENSPL016,FS,SHOPLUNE,GOLDEN,BRASS,DIVIDED/SIGNET,1,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
14319,10-08-2019,YARDAGE/KHADI/FARBIC//COTTON/ASSORTED/JMAS071,FS,JAIPUR MODERN ASSO,ASSORTED,ATTAR,YARDAGE/KHADI/FARBIC,7,WOMEN,STATIONARY,YARDAGE,FREE SIZE
14320,10-08-2019,92EM005//NA/GREENAT034,FS,ABRAHAM & THAKORE,GREEN,HW FABRIC,92EM005,1,FASHION,COSMETICS,EYEMASK,FREE SIZE
14321,10-08-2019,YARDAGE/MALKHA//COTTON/ASSORTED/JMAS065,FS,JAIPUR MODERN ASSO,ASSORTED,ATTAR,YARDAGE/MALKHA,0.8,WOMEN,STATIONARY,YARDAGE,FREE SIZE
14322,10-08-2019,CHEKER/STUDD//GP/SILVER/GOLD/PLATED/CJ460,FS,DIANE SINGH,GOLD PLATED,EARRING COLL,CHEKER/STUDD,1,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
14323,10-08-2019,ROSE/ATTAR/NATURAL/JF009,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ROSE,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14324,10-08-2019,FRAG/DE/JAIPUR/ATTAR/NATURAL/JF011,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,FRAG/DE/JAIPUR,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14325,10-08-2019,SIDE/EDGING/LEATHER/CAMEL/ORANGE/701783,FS,JAIPUR MODERN,CAMEL ORANGE,DUAL POCKET EDGING,SIDE/EDGING,1,LUGGAGE,ACCESSORIES,CARD HOLDER,FREE SIZE
14326,10-08-2019,SIDE/EDGING/LEATHER/CAMEL/PINK/701784,FS,JAIPUR MODERN,CAMEL PINK,DUAL POCKET EDGING,SIDE/EDGING,1,LUGGAGE,ACCESSORIES,CARD HOLDER,FREE SIZE
14327,10-08-2019,SIDE/EDGING/LEATHER/CAMEL/BLUE/701785,FS,JAIPUR MODERN,CAMEL BLUE,DUAL POCKET EDGING,SIDE/EDGING,1,LUGGAGE,ACCESSORIES,CARD HOLDER,FREE SIZE
14328,11-08-2019,TALPE/NECK//GOLD/RUBY/MOON/GOLD/RUBY/MOON/CJ19099,FS,DIANE SINGH,GOLD RUBY MOON,TIMELESS BEAUTY,TALPE/NECK,1,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
14329,11-08-2019,A5/FLORAL///PAPER/MULTI/GWK014,FS,GOODWORK,MULTI,NOTEBOOK,A5/FLORAL,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14330,12-08-2019,SKT1904//COTTON/NATURALSGH086,FS,SANGRAHA,NATURAL,HAND WEAVE,SKT1904,1,FASHION,CLOTHS,TUNIC,FREE SIZE
14331,12-08-2019,RAKHIS//PAPER/MULTI/GWK025,FS,GOODWORK,MULTI,RAKHI,RAKHIS,3,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14332,12-08-2019,BULK/WASABI/POPS//QUINOA/NATURAL/AHFW027,50g,OFC,NATURAL,WASABI,BULK/WASABI/POPS,2,WELLNESS,KITCHEN,QUINOA,50 Gms
14333,12-08-2019,SHIVA//GOLD/GOLD/CJ19137,FS,DIANE SINGH,GOLD,TRIBAL,shiva,1,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
14334,12-08-2019,SHIVA//GOLD/GOLD/CJ19139,FS,DIANE SINGH,GOLD,TRIBAL,shiva,1,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
14335,12-08-2019,SHIVA//GOLD/GOLD/CJ19147,FS,DIANE SINGH,GOLD,TRIBAL,shiva,1,JEWELLERY,ACCESSORIES,BRACELETTES,FREE SIZE
14336,12-08-2019,CLUTCH/JUTE//JUTE/ASSORTED/JMAS086,FS,JAIPUR MODERN ASSO,ASSORTED,HANDMADE,CLUTCH/JUTE,1,ACCESSORIES,ACCESSORIES,CLUTCH,FREE SIZE
14337,12-08-2019,PEACOCK//COTTON/WHITE/BLUEKHT002,44,KHATU DESIGN,WHITE BLUE,MAYO DESIGN,PEACOCK,1,FASHION,CLOTHS,SHIRT,44
14338,12-08-2019,JM/KC4T/T/1/M//100%/COTTON/INDIGO/110112082,M,11.11,INDIGO,13173,JM/KC4T/T/1/M,1,FASHION,CLOTHS,SHIRT,MEDIUM
14339,12-08-2019,YASMIN/ATTAR/NATURAL/JF010,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,YASMIN,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14340,12-08-2019,FRAG/DE/JAIPUR/ATTAR/NATURAL/JF011,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,FRAG/DE/JAIPUR,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14341,12-08-2019,WINSOME/ATTAR/NATURAL/JF013,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,WINSOME,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14342,12-08-2019,ADONIS/ATTAR/NATURAL/JF014,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ADONIS,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14343,12-08-2019,PARFU/DE/MATIN/ATTAR/NATURAL/JF015,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,PARFU/DE/MATIN,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14344,12-08-2019,FRANGIPANI/ATTAR/NATURAL/JF016,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,FRANGIPANI,2,WELLNESS,HEALTH CARE,ROLLON,6 ML
14345,12-08-2019,BLOCK/PRINTED//COTTON/ASSORTED/JMAS072,FS,JAIPUR MODERN ASSO,ASSORTED,BLOCK PRINTED,BLOCK/PRINTED,1,FASHION,CLOTHS,TUNIC,FREE SIZE
14346,12-08-2019,G1738//100%/COTTON/NATURAL/MK153,M,MAKU,NATURAL,AGATHA,G1738,1,FASHION,CLOTHS,DRESS,MEDIUM
14347,13-08-2019,WATERMELON//NA/NATURAL/VC002,FS,VAUNT,NATURAL,FACE MIST,WATERMELON,1,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
14348,14-08-2019,GW450//NOTEBOOK/IN/MULTIGW011,FS,GOODWORK,MULTI,PATTER HAND STITH,GW450,1,STATIONARY,STATIONARY,NOTEBOOK,FREE SIZE
14349,14-08-2019,BLANKET/HW/NEW//PASHMINA/ASSORTED/JMAS009,260X140,JAIPUR MODERN ASSO,ASSORTED,TEXTILE B,BLANKET/HW/NEW,1,HOME,BEDROOM,BLANKET,260X140
14350,14-08-2019,SKT1811//COTTON/NATURAL/SHG1912,M,SANGRAHA,NATURAL,HAND WEAVE,SKT1811,1,FASHION,CLOTHS,TUNIC,MEDIUM
14351,14-08-2019,BIRD/EYE//COTTON/BEIGE/RUST7000673,FS,JAIPUR MODERN,BEIGE RUST,IKAT WEAVE,BIRD/EYE,2,HOME,HOME DECOR,PLACEMAT,FREE SIZE
14352,14-08-2019,WRAPPING/PAPERS//PAPER/MULTI/GWK027,FS,GOODWORK,MULTI,PAPER,WRAPPING/PAPERS,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14353,14-08-2019,DOLL/SMALL//100%/COTTON/MULTI/SIL009,FS,SILAIWALI,MULTI,HANDSTITCH TOYS,DOLL/SMALL,1,ACCESSORIES,ACCESSORIES,DOLLS,FREE SIZE
14354,15-08-2019,SUBHADRA/KOTHARI/NA/VOL/2/8400011,FS,STATIONARY,VOL 2,HINDI MADE EASY,SUBHADRA/KOTHARI,1,STATIONARY,STATIONARY,TEXTBOOK,FREE SIZE
