,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
13265,2019-04-21,GW200//NOTEBOOK/IN/MULTIGW012,FS,GOODWORK,MULTI,5 GOOD MINTUES,GW200,1.0,STATIONARY,STATIONARY,NOTEBOOK,FREE SIZE
13266,2019-04-21,GW150//NOTEBOOK/IN/MULTIGW013,FS,GOODWORK,MULTI,A5 SLIM STITCH,GW150,1.0,STATIONARY,STATIONARY,NOTEBOOK,FREE SIZE
13267,2019-04-21,PARANDA//NA/BLUEJL022,FS,JOLI,BLUE,PARANDA,PARANDA,1.0,ACCESSORIES,ACCESSORIES,DANGLER,FREE SIZE
13268,2019-04-21,JAIPUR/AMER//PAPER/PINKKHT1905,FS,KHATU DESIGN,PINK,PAPER COVER,JAIPUR/AMER,1.0,STATIONARY,STATIONARY,DIARY,FREE SIZE
13269,2019-04-21,LGCF33//BRASS/SILK/METALLIC/BRASSAKH155,FS,AKIHI,METALLIC BRASS,HAND EMBROIDERED,LGCF33,1.0,JEWELLERY,ACCESSORIES,CUFFLINKS,FREE SIZE
13270,2019-04-21,MAHABALIPURAM//WAX/NATURALCLIVE/005,FS,3 CLIVE ROAD,NATURAL,SCENTED,MAHABALIPURAM,1.0,WELLNESS,ACCESSORIES,CANDLES,FREE SIZE
13271,2019-04-21,GW450//NOTEBOOK/IN/MULTI/GW016,FS,GOODWORK,MULTI,HAND STITCHED WHITE,GW450,2.0,STATIONARY,STATIONARY,NOTEBOOK,FREE SIZE
13272,2019-04-21,METALLIC/RECYCLE//NA/SILVER/GOLD/BANKSJL034,FS,JOLI,SILVER GOLD BANKS,METALLIC RECYCLE,METALLIC/RECYCLE,1.0,ACCESSORIES,ACCESSORIES,POUCH,FREE SIZE
13273,2019-04-21,VIOLA/HS6/AOB/HK2/65/M//100%/SILK/SLATEINDI/GO11012039,M,11.11,SLATEINDI GO,11294,VIOLA/HS6/AOB/HK2/65/M,1.0,FASHION,CLOTHS,DRESS,MEDIUM
13274,2019-04-21,JIM/KAFTAN///NA/GREY+RED+BLACKAISH605,FS,AISH,GREY+RED+BLACK,OG-18-759,JIM/KAFTAN,1.0,FASHION,CLOTHS,KAFTAN,FREE SIZE
13275,2019-04-21,VNOSTRA/KC/IA3/22/M//100%/COTTON/LIGHTINDIGO/110112057,S,11.11,LIGHTINDIGO,11389,VNOSTRA/KC/IA3/22/M,1.0,FASHION,CLOTHS,SHIRT,SMALL
13276,2019-04-21,LABHO/HS/AOB/50/S//100%/SILK/OCHRE/YELLOW11011947,S,11.11,OCHRE YELLOW,10822,LABHO/HS/AOB/50/S,1.0,FASHION,CLOTHS,DRESS,SMALL
13277,2019-04-21,G1864//100%/COTTON/KAHWAMK129,M,MAKU,NATURAL,KAHWA,G1864,1.0,FASHION,CLOTHS,DRESS,MEDIUM
13278,2019-04-21,PARFU/DE/MATIN/ATTAR/NATURAL/JF015,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,PARFU/DE/MATIN,1.0,WELLNESS,HEALTH CARE,ROLLON,6 ML
13279,2019-04-21,JAIPUR/HUES//SILK/MULTIKHA012,FS,KHATU DESIGN,MULTI,PRINTED SILK,JAIPUR/HUES,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
